County_ID,County,PA_Region,Year,ETANF,Snap_January ,SNAP_July,Medicaid,SSI,WIC,CHIP,LFPR,U_Rate,Med_Income,ED_Attain_HSandAbove,Ed_Attain_BAandAbove,Employ_TR,Pov_Rate,Population
59,Greene,West,2015,12,"3,232","3,268","8,622","1,733",,321,94,6,"$50,714 ",-,-,,-,"37,336"
69,Lackawanna,Northeast,2015,60,"18,156","18,572","47,767","6,711",,"2,028",94.2,5.8,"$48,000 ",89.4,26.2,,15.7,"211,781"
71,Lancaster,Central,2015,89,"24,971","25,588","85,298","9,766",,"7,822",95.9,4.1,"$59,231 ",84.5,25.8,,10.9,"536,534"
73,Lawrence,West,2015,61,"8,056","8,200","20,336","3,520",,928,93.7,6.3,"$43,944 ",88.8,20.7,,18.8,"88,317"
75,Lebanon,Southeast,2015,17,"7,452","7,510","25,024","2,441",,"1,855",95.5,4.5,"$52,829 ",85.4,18.6,,12.7,"137,540"
77,Lehigh,Southeast,2015,125,"22,944","23,761","75,508","9,896",,"5,251",94.7,5.3,"$56,352 ",88.1,29.7,,12.1,"360,505"
79,Luzerne,Northeast,2015,83,"27,545","28,178","74,220","10,022",,"3,370",93.5,6.5,"$49,589 ",89.7,22.1,,15.4,"318,013"
81,Lycoming,Northeast,2015,58,"7,855","8,105","23,740","3,299",,"1,157",93.9,6.1,"$49,941 ",88.1,22.9,,15.2,"115,580"
83,McKean,Northeast,2015,16,"3,527","3,638","10,415","1,638",,383,93.9,6.1,"$46,039 ",-,-,,-,"42,247"
85,Mercer,West,2015,56,"9,822","9,900","25,902","3,941",,"1,029",94.5,5.5,"$46,319 ",89.1,23.5,,13.2,"113,746"
91,Montgomery,Southeast,2015,114,"27,070","28,085","94,741","8,399",,"8,237",95.8,4.2,"$83,258 ",93.9,47.5,,6.6,"817,869"
95,Northampton,Southeast,2015,53,"15,329","15,821","49,035","6,553",,"3,362",94.7,5.3,"$62,129 ",90.1,27.6,,8.2,"300,466"
101,Philadelphia,Southeast,2015,"7,698","256,734","262,121","589,096","109,532",,"19,831",92.9,7.1,"$41,210 ",83.1,27.4,,25.8,"1,570,507"
107,Schuylkill,Northeast,2015,18,"11,181","11,387","30,876","3,862",,"1,640",93.7,6.3,"$45,733 ",89.2,16,,12.5,"143,885"
125,Washington,West,2015,32,"12,592","12,911","34,503","5,061",,"2,198",94.4,5.6,"$57,622 ",92.4,29.2,,9.9,"207,747"
129,Westmoreland,West,2015,62,"21,928","22,180","62,481","8,607",,"4,139",94.6,5.4,"$53,422 ",93.8,26.7,,11.4,"356,995"
133,York,Southeast,2015,131,"23,865","24,519","75,721","8,368",,"5,658",95.2,4.8,"$58,527 ",89.3,22.7,,10.7,"441,822"
